account_rewards,date
-101.29444327354395,2020-01-03
-61.68014073371887,2020-01-06
-2.074481266021394,2020-01-07
28.3561064071655,2020-01-08
-67.57329862594634,2020-01-09
73.77729079246637,2020-01-10
-16.34216967201064,2020-01-13
-55.89597614288141,2020-01-14
77.20205622863796,2020-01-15
33.5771350078594,2020-01-16
-18.629691009520684,2020-01-17
-8.878238750457967,2020-01-21
33.081527389525945,2020-01-22
-133.18663741302407,2020-01-23
-119.8591936264038,2020-01-24
129.83561081695734,2020-01-27
-17.843470317839092,2020-01-28
142.86108245849573,2020-01-29
-142.7170672416687,2020-01-30
71.08204829406714,2020-01-31
158.99911897659513,2020-02-03
77.0309729118344,2020-02-04
-103.89885469818,2020-02-05
-71.71746556663493,2020-02-06
10.148851551055486,2020-02-07
53.33278995132423,2020-02-10
91.74632945251506,2020-02-11
-2.044643117904343,2020-02-12
55.87518107986398,2020-02-13
25.94612015533494,2020-02-14
-14.491929130554126,2020-02-18
45.18228571701184,2020-02-19
-79.64874446296562,2020-02-20
-570.3374954967512,2020-02-21
-488.50648137664757,2020-02-24
-96.36801377105621,2020-02-25
-433.4257340507502,2020-02-26
-10.243456588745175,2020-02-27
0.0,2020-02-28
0.0,2020-03-02
686.7934956855788,2020-03-03
-12.334713146208742,2020-03-04
-9.751870836254966,2020-03-05
-582.6409759521484,2020-03-06
-11.739586727140704,2020-03-09
0.0,2020-03-10
0.0,2020-03-11
0.0,2020-03-12
0.0,2020-03-13
0.0,2020-03-16
0.0,2020-03-17
0.0,2020-03-18
0.0,2020-03-19
0.0,2020-03-20
0.0,2020-03-23
0.0,2020-03-24
0.0,2020-03-25
0.0,2020-03-26
216.45973486518778,2020-03-27
-11.932959465028034,2020-03-30
-248.81709560012496,2020-03-31
-11.680862312317913,2020-04-01
