account_rewards,date
234.48168078804156,2019-10-03
-140.6750069503778,2019-10-04
-254.7706078338615,2019-10-07
36.458498571397286,2019-10-08
-5.017642974853516,2019-10-09
-90.16637209033797,2019-10-10
-134.44451028919502,2019-10-11
-178.74474704932982,2019-10-14
15.005252838134766,2019-10-15
44.91372993278492,2019-10-16
57.594567999840365,2019-10-17
65.60279058837841,2019-10-18
83.05183925819438,2019-10-21
40.41103488635963,2019-10-22
-1.9619865417480469,2019-10-23
-109.00241470336914,2019-10-24
-50.48914715957471,2019-10-25
21.637368827819955,2019-10-28
-41.95961942291251,2019-10-29
-80.42029888534489,2019-10-30
-13.392030288696333,2019-10-31
168.53554072571023,2019-11-01
7.532109622954522,2019-11-04
-45.85399822234831,2019-11-05
-132.0679200515733,2019-11-06
-28.483121833800396,2019-11-07
-74.43550934219456,2019-11-08
-40.25757864189109,2019-11-11
129.9625261669171,2019-11-12
14.00251049041799,2019-11-13
49.63219213867342,2019-11-14
4.939341892240918,2019-11-15
15.772060260771468,2019-11-18
-136.91776691818086,2019-11-19
5.519219171525037,2019-11-20
21.825908372878985,2019-11-21
-32.133722274780666,2019-11-22
106.91381523895325,2019-11-25
-14.336830764770639,2019-11-26
-60.38117742538452,2019-11-27
-109.61759868431,2019-11-29
-352.4087028503418,2019-12-02
151.55309870529163,2019-12-03
40.466880630494416,2019-12-04
93.19895553588867,2019-12-05
26.984021331787517,2019-12-06
-44.56813772392343,2019-12-09
-25.903194801330756,2019-12-10
289.4228445816043,2019-12-11
-99.35978032302773,2019-12-12
77.9998550415039,2019-12-13
62.201815666199764,2019-12-16
-28.37937483596943,2019-12-17
-14.063682556152344,2019-12-18
123.57463932609608,2019-12-19
-92.41477966308594,2019-12-20
25.572777349472744,2019-12-23
-2.200292510986401,2019-12-24
-51.682952079770985,2019-12-26
-67.6751541824342,2019-12-27
23.28236882400597,2019-12-30
-110.28511899185105,2019-12-31
