account_rewards,date
68.74917151260524,2018-04-04
-223.68959999084473,2018-04-05
48.300758361816406,2018-04-06
156.34946632385254,2018-04-09
-52.23911476135436,2018-04-10
81.59048461914062,2018-04-11
-29.359626770017712,2018-04-12
82.5758924484253,2018-04-13
107.59192371368408,2018-04-16
7.155146017072184,2018-04-17
-55.426292419433594,2018-04-18
-85.32956123351869,2018-04-19
-1.3609199523907591,2018-04-20
-134.48706436157408,2018-04-23
24.84839630126953,2018-04-24
101.54293441772643,2018-04-25
10.072185516355603,2018-04-26
-78.07904815673828,2018-04-27
17.568656921388538,2018-04-30
-67.22063446045104,2018-05-01
-22.161144256593616,2018-05-02
128.58596038818723,2018-05-03
33.64674377441224,2018-05-04
-0.9613800048828125,2018-05-07
97.17933654785156,2018-05-08
95.65359497070312,2018-05-09
31.151500701906116,2018-05-10
4.513156890867322,2018-05-11
-70.58671951293763,2018-05-14
42.583858489986596,2018-05-15
-8.401371002195447,2018-05-16
-26.303203582761853,2018-05-17
76.81874465942201,2018-05-18
-28.289459228515625,2018-05-21
27.850902557374866,2018-05-22
-20.567142486574085,2018-05-23
-24.89655303955078,2018-05-24
-119.04233551025209,2018-05-25
136.28431320190248,2018-05-29
-63.238014221191406,2018-05-30
99.97215652465638,2018-05-31
48.84368133545286,2018-06-01
7.101619720457165,2018-06-04
86.9437026977539,2018-06-05
-1.0790061950683594,2018-06-06
31.08489990234375,2018-06-07
13.227737426755994,2018-06-08
14.268905639650256,2018-06-11
-33.35420608520508,2018-06-12
26.517131805419922,2018-06-13
-13.324668884277344,2018-06-14
-21.153236389160156,2018-06-15
-39.224334716796875,2018-06-18
17.700145721435547,2018-06-19
-65.28414916992188,2018-06-20
18.571044921875,2018-06-21
-140.9096221923828,2018-06-22
22.20407485961732,2018-06-25
-85.40905761718386,2018-06-26
58.29755783080873,2018-06-27
14.614871978759766,2018-06-28
22.815818786621094,2018-06-29
