date,D,DAL,KEY,LNC,LNT,PEP,PG,SPY,XEL
2020-01-03,0,0,-61,0,31,-4,0,0,0
2020-01-06,0,0,5,0,0,0,9,0,-19
2020-01-07,98,0,2,0,-31,0,-9,0,-81
2020-01-08,-17,21,0,0,0,0,0,0,0
2020-01-09,-31,-21,2,0,0,0,0,0,60
2020-01-10,-36,0,1,0,0,0,0,0,45
2020-01-13,2,0,-17,0,0,0,0,19,-100
2020-01-14,-16,100,-53,0,0,0,16,-19,0
2020-01-15,0,0,-50,1,0,23,-16,0,-5
2020-01-16,6,-94,-15,-1,0,-23,29,0,0
2020-01-17,0,0,0,0,1,40,0,0,0
2020-01-21,-6,-6,-100,0,-1,-40,-29,35,0
2020-01-22,0,0,0,1,0,0,0,0,0
2020-01-23,0,0,3,-1,0,84,0,-35,0
2020-01-24,0,0,7,0,0,-8,0,3,0
2020-01-27,100,0,0,0,63,-76,0,-3,0
2020-01-28,-100,0,-54,0,41,0,0,0,100
2020-01-29,0,0,50,0,100,0,0,0,-100
2020-01-30,0,66,0,0,-69,0,0,0,0
2020-01-31,0,-4,2,1,-28,1,0,5,0
2020-02-03,0,1,0,-1,-65,27,0,0,0
2020-02-04,0,-25,-100,0,49,0,17,-5,0
2020-02-05,39,100,-22,0,-50,-28,-17,0,0
2020-02-06,1,-38,1,0,0,0,18,0,0
2020-02-07,-40,0,0,1,0,0,-18,16,0
2020-02-10,0,-69,100,5,-41,0,0,13,0
2020-02-11,39,0,-96,-6,0,0,0,-3,0
2020-02-12,0,0,-5,13,0,0,0,-2,0
2020-02-13,0,-31,34,48,100,6,0,-24,0
2020-02-14,0,0,-34,0,1,0,5,0,0
2020-02-18,-39,0,0,0,0,-6,33,0,0
2020-02-19,0,0,38,30,-91,0,1,8,0
2020-02-20,0,0,-25,-91,99,0,0,0,0
2020-02-21,0,0,-13,100,-54,0,0,-8,5
2020-02-24,0,100,0,-77,0,24,-39,0,-5
2020-02-25,0,-79,0,13,-55,0,0,0,100
2020-02-26,0,100,0,-18,17,-24,0,0,-53
2020-02-27,0,-121,0,-18,-17,0,0,0,-47
2020-02-28,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0
2020-03-03,75,0,0,1,0,0,0,0,100
2020-03-04,-75,0,0,-1,0,0,0,0,-100
2020-03-05,0,0,2,0,19,0,100,0,0
2020-03-06,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,-2,0,-19,0,-100,0,0
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,100,89,0,0,0,35,1
2020-03-30,0,0,-100,-89,0,0,0,-35,-1
2020-03-31,100,0,0,0,0,0,53,0,1
2020-04-01,-100,0,0,0,0,0,-53,0,-1
