date,D,DAL,KEY,LNC,LNT,PEP,PG,SPY,XEL
2019-07-05,0,0,0,0,-1,0,75,-47,100
2019-07-08,0,0,1,0,0,0,0,0,0
2019-07-09,0,0,-1,0,0,0,0,0,0
2019-07-10,0,0,0,0,0,0,0,0,0
2019-07-11,35,0,0,0,1,0,-76,0,100
2019-07-12,0,0,0,0,0,0,0,0,0
2019-07-15,0,17,1,0,100,0,0,0,-100
2019-07-16,0,-17,-1,0,-100,0,0,0,100
2019-07-17,0,0,1,0,0,0,0,0,0
2019-07-18,0,0,-1,0,0,0,0,0,0
2019-07-19,0,0,0,0,-1,0,0,0,1
2019-07-22,0,0,0,0,0,0,0,0,0
2019-07-23,0,0,0,0,0,0,0,0,0
2019-07-24,0,0,0,0,0,0,0,0,0
2019-07-25,0,1,0,0,0,0,32,0,-62
2019-07-26,0,-1,0,0,0,0,0,0,1
2019-07-29,-35,0,0,0,0,25,0,0,-13
2019-07-30,0,78,1,0,0,-11,-32,0,0
2019-07-31,0,-3,-1,0,0,-14,0,0,33
2019-08-01,0,-75,0,0,0,0,0,0,-160
2019-08-02,0,0,3,0,0,0,73,0,100
2019-08-05,0,0,-3,0,0,0,10,0,-19
2019-08-06,0,0,2,0,0,0,0,0,0
2019-08-07,0,0,-2,0,0,0,0,0,0
2019-08-08,0,0,2,0,0,0,0,0,0
2019-08-09,0,0,-2,0,1,28,-83,0,100
2019-08-12,0,0,0,0,-1,0,0,0,1
2019-08-13,0,0,2,0,0,-28,0,0,59
2019-08-14,0,0,-2,0,0,0,0,0,0
2019-08-15,0,0,0,0,0,0,0,0,0
2019-08-16,0,0,0,0,0,0,0,0,0
2019-08-19,0,0,0,0,0,0,0,0,0
2019-08-20,0,0,2,0,0,0,0,0,0
2019-08-21,0,0,-2,0,0,0,52,0,-100
2019-08-22,0,0,1,0,0,0,0,0,0
2019-08-23,0,0,-1,0,0,0,0,0,0
2019-08-26,0,0,0,0,0,0,0,0,0
2019-08-27,0,0,0,0,0,0,0,0,0
2019-08-28,0,0,1,0,0,0,-52,0,100
2019-08-29,0,0,-1,0,0,0,0,0,0
2019-08-30,0,0,0,0,0,0,0,0,0
2019-09-03,0,0,1,0,0,0,0,0,0
2019-09-04,0,0,-1,0,0,0,0,0,0
2019-09-05,0,0,0,0,0,0,0,0,0
2019-09-06,0,0,0,0,1,22,0,0,-48
2019-09-09,0,0,0,0,0,-5,0,0,11
2019-09-10,0,0,0,0,-1,-3,0,0,7
2019-09-11,0,0,0,0,0,-14,0,0,31
2019-09-12,0,0,0,0,0,0,0,0,0
2019-09-13,0,0,0,0,0,0,0,0,0
2019-09-16,0,0,0,0,2,0,51,0,-100
2019-09-17,1,0,0,0,-2,47,0,0,-100
2019-09-18,0,0,2,0,0,-47,0,0,99
2019-09-19,-1,0,0,0,0,0,0,0,1
2019-09-20,0,0,0,0,0,0,0,0,0
2019-09-23,0,0,-2,0,0,0,0,0,0
2019-09-24,0,0,2,0,0,0,0,0,0
2019-09-25,0,0,-2,0,0,0,0,0,0
2019-09-26,0,0,0,0,0,0,0,0,0
2019-09-27,0,0,0,0,0,0,-42,0,81
2019-09-30,0,0,0,0,0,0,-9,0,17
2019-10-01,0,0,0,0,0,0,0,0,0
