account_value,date,daily_return
11672.63443164738,2020-04-03,
12443.700357691845,2020-04-06,0.06605757513950028
12431.25927050694,2020-04-07,-0.0009997900003445581
12431.25927050694,2020-04-08,0.0
12843.686311617934,2020-04-09,0.03317661003897432
12538.968429282271,2020-04-13,-0.023725110917729775
12973.918115359389,2020-04-14,0.034687836446049225
12645.553615614974,2020-04-15,-0.025309586265669037
12764.32807993325,2020-04-16,0.009392587143959519
13123.888484710777,2020-04-17,0.028169160376157132
12742.291503271186,2020-04-20,-0.02907651812830836
12449.035211603248,2020-04-21,-0.023014407698384032
12771.115041772926,2020-04-22,0.02587187076710018
12684.289053003391,2020-04-23,-0.006798622397929721
12794.826734082306,2020-04-24,0.008714535013907065
12975.675017289244,2020-04-27,0.014134484738679731
13009.770066204155,2020-04-28,0.002627612734557694
13088.157301845635,2020-04-29,0.0060252591123888255
12880.043257656182,2020-04-30,-0.015900943073178464
12566.544934215628,2020-05-01,-0.024339850198422552
12603.723063411797,2020-05-04,0.0029585004781180757
12748.86157030114,2020-05-05,0.01151552649634735
12508.604654091918,2020-05-06,-0.01884536237877965
12477.771526116454,2020-05-07,-0.0024649534323061273
12465.294568488203,2020-05-08,-0.0009999347721775242
12447.188547003829,2020-05-11,-0.0014525145302338727
12194.678781378829,2020-05-12,-0.020286489970924526
11974.391534674725,2020-05-13,-0.018064210681832837
12119.703042853436,2020-05-14,0.01213518931278701
12171.944192755782,2020-05-15,0.004310431511203694
12552.408227789962,2020-05-18,0.031257458053464804
12418.00606714543,2020-05-19,-0.0107072808823232
12633.950754035079,2020-05-20,0.017389642565965424
12547.431303679548,2020-05-21,-0.006848170618988458
12570.4000665923,2020-05-22,0.0018305549842712043
12739.111270238003,2020-05-26,0.0134213074167846
12938.553607274138,2020-05-27,0.01565590666454786
12905.852191258513,2020-05-28,-0.00252743985210524
12959.211993504607,2020-05-29,0.004134543109228783
13013.559298802458,2020-06-01,0.004193719905584592
13121.75914316281,2020-06-02,0.008314392847951213
13302.679919529997,2020-06-03,0.01378784463220839
13281.817492772183,2020-06-04,-0.001568287509284949
13631.974353123747,2020-06-05,0.026363625350379616
13803.524234105193,2020-06-08,0.012584375273720694
13696.212390233122,2020-06-09,-0.007774235191830847
13607.945681859099,2020-06-10,-0.00644460715554962
12818.099505711638,2020-06-11,-0.058043013590244774
12976.856250096404,2020-06-12,0.012385357463797542
13098.37144785031,2020-06-15,0.009363993513683555
13348.812802777373,2020-06-16,0.0191200376263696
13317.832154149137,2020-06-17,-0.002320854227710001
13379.382043418967,2020-06-18,0.004621614731092238
13286.039956626975,2020-06-19,-0.0069765618837310805
13441.208663520896,2020-06-22,0.011679078747352634
13383.3573051072,2020-06-23,-0.00430402948588271
13147.242887432181,2020-06-24,-0.01764239064176487
13149.733864719474,2020-06-25,0.0001894676555853625
12924.657504048431,2020-06-26,-0.017116419464193067
13040.663180317963,2020-06-29,0.008975531942196024
13134.323763814056,2020-06-30,0.007182194816399701
13220.25569347104,2020-07-01,0.006542546932924775
13291.100588467682,2020-07-02,0.005358814280092217
