account_rewards,date
-134.59203338623047,2020-07-06
140.6697251634596,2020-07-07
-353.4183949127182,2020-07-08
101.2418778476731,2020-07-09
-26.859023624419933,2020-07-10
137.50689697265625,2020-07-13
109.36138043975916,2020-07-14
-43.59067153930664,2020-07-15
34.233812428474266,2020-07-16
104.1786880493164,2020-07-17
29.816050415038262,2020-07-20
77.63987526703022,2020-07-21
22.856284328461697,2020-07-22
-91.3073673248291,2020-07-23
49.4585609436017,2020-07-24
138.67693711471657,2020-07-27
99.09871950340494,2020-07-28
-49.61969675636465,2020-07-29
80.31701288795739,2020-07-30
89.58230087375705,2020-07-31
54.6778809471125,2020-08-03
87.55670645141618,2020-08-04
90.8187026977539,2020-08-05
13.268272399902344,2020-08-06
47.30972096347796,2020-08-07
-115.42718601226807,2020-08-10
209.95076607513693,2020-08-11
31.574661254882812,2020-08-12
-39.28580442047132,2020-08-13
-125.61374160480227,2020-08-14
-69.6855443305958,2020-08-17
-76.11190048790195,2020-08-18
16.687557775499954,2020-08-19
-8.504745903015646,2020-08-20
405.0063018798828,2020-08-21
54.84827743816459,2020-08-24
74.42052713298835,2020-08-25
4.442886484146584,2020-08-26
76.29340171813965,2020-08-27
-90.64637427425441,2020-08-28
-49.155802843093625,2020-08-31
282.3049336767199,2020-09-01
-70.31395237350262,2020-09-02
-83.212451698304,2020-09-03
-247.22063166427506,2020-09-04
258.85141033649415,2020-09-08
-216.43833541870117,2020-09-09
88.86784457492831,2020-09-10
310.37205995559816,2020-09-11
160.56045550823364,2020-09-14
180.65520771694173,2020-09-15
-196.7562611923222,2020-09-16
-322.10393922424373,2020-09-17
-699.1480865478516,2020-09-18
66.00532651138565,2020-09-21
-227.37166420936592,2020-09-22
-172.93317023277086,2020-09-23
309.8148081636409,2020-09-24
639.8247954463968,2020-09-25
-268.0771484870929,2020-09-28
32.627946975708255,2020-09-29
203.92786572265868,2020-09-30
