date,D,DAL,KEY,LNC,LNT,PEP,PG,SPY,XEL
2019-10-03,0,0,3,0,0,46,0,0,-100
2019-10-04,4,0,100,100,100,-46,0,0,-100
2019-10-07,0,0,-100,0,1,30,0,0,-40
2019-10-08,0,0,1,-100,99,0,0,0,0
2019-10-09,0,0,0,0,0,0,0,0,0
2019-10-10,0,0,1,0,-100,0,43,0,0
2019-10-11,-4,0,-5,1,-95,-30,77,0,0
2019-10-14,0,0,6,-1,-5,82,-91,0,0
2019-10-15,0,0,0,0,0,0,0,0,0
2019-10-16,0,0,2,0,0,25,-29,0,0
2019-10-17,0,0,1,0,34,-100,100,0,0
2019-10-18,58,0,100,0,95,-7,-87,0,0
2019-10-21,0,0,2,0,0,0,0,0,0
2019-10-22,0,0,1,0,30,0,-13,0,0
2019-10-23,0,0,0,0,0,0,0,0,0
2019-10-24,0,0,0,0,0,0,0,0,0
2019-10-25,30,0,100,0,-78,0,0,0,0
2019-10-28,0,0,0,70,-81,0,0,0,0
2019-10-29,-62,0,0,0,0,0,1,15,0
2019-10-30,-26,0,-100,-70,0,0,63,0,0
2019-10-31,0,0,-112,0,0,0,-64,-15,0
2019-11-01,91,0,100,100,0,0,0,0,0
2019-11-04,0,0,-22,0,7,0,0,0,0
2019-11-05,0,0,14,-100,0,0,0,18,0
2019-11-06,-91,0,-92,0,100,25,0,-18,52
2019-11-07,0,0,0,0,-80,75,0,0,-52
2019-11-08,0,0,2,23,-27,0,0,0,0
2019-11-11,0,0,1,-23,0,0,11,0,0
2019-11-12,0,0,-3,0,0,-68,74,0,0
2019-11-13,29,0,100,0,36,-15,-34,0,0
2019-11-14,-29,0,0,0,6,-12,-48,30,0
2019-11-15,0,0,2,0,-42,2,-3,7,0
2019-11-18,0,87,100,0,0,19,0,-37,0
2019-11-19,0,-25,0,0,0,28,0,0,0
2019-11-20,0,-62,1,0,0,0,0,0,61
2019-11-21,71,0,-5,0,100,-54,0,0,-61
2019-11-22,-71,0,2,0,1,0,46,0,0
2019-11-25,0,0,2,0,-89,0,38,0,0
2019-11-26,0,0,0,0,-12,0,5,0,0
2019-11-27,0,53,100,100,0,0,-89,0,0
2019-11-29,0,0,1,0,0,0,0,0,0
2019-12-02,0,0,0,0,0,0,0,0,0
2019-12-03,0,0,3,-1,0,0,0,0,0
2019-12-04,0,0,2,-99,0,0,43,0,0
2019-12-05,0,0,0,0,0,0,0,0,0
2019-12-06,0,-45,6,0,0,0,21,0,0
2019-12-09,0,0,5,0,0,58,-64,0,0
2019-12-10,0,-8,100,1,100,-58,9,0,0
2019-12-11,0,0,0,0,-82,0,1,13,0
2019-12-12,0,0,18,-1,100,0,-10,-13,0
2019-12-13,0,0,0,0,0,0,0,0,0
2019-12-16,0,0,5,0,-100,38,0,0,0
2019-12-17,0,0,2,0,-18,2,0,2,0
2019-12-18,0,0,0,0,0,0,0,0,0
2019-12-19,0,0,1,0,0,0,5,-2,0
2019-12-20,0,0,0,0,0,0,0,0,0
2019-12-23,0,0,-47,0,0,10,-4,0,0
2019-12-24,0,0,2,0,0,0,0,0,0
2019-12-26,0,0,0,27,100,-50,-1,0,0
2019-12-27,2,1,0,-27,-100,0,0,20,0
2019-12-30,0,-1,0,1,0,0,0,0,0
2019-12-31,-2,0,0,-1,0,4,0,-20,100
