account_rewards,date
-122.30612711334288,2018-10-02
-22.15229034423828,2018-10-03
105.97062683105469,2018-10-04
105.95813369750977,2018-10-05
20.124080657958984,2018-10-08
-50.99189758300781,2018-10-09
-246.02116775512695,2018-10-10
-9.825947765350065,2018-10-11
94.53941085815495,2018-10-12
124.14649200439453,2018-10-15
99.38960266113281,2018-10-16
-90.61669921875,2018-10-17
695.3897552490234,2018-10-18
-10.730004165650826,2018-10-19
58.848662536622214,2018-10-22
281.18971252441406,2018-10-23
-44.41135883331299,2018-10-24
-166.36008071899414,2018-10-25
99.56768226623535,2018-10-26
108.98979949951172,2018-10-29
-82.67442417144775,2018-10-30
58.82099533081055,2018-10-31
10.466144561767578,2018-11-01
210.28225994110107,2018-11-02
49.927794456481934,2018-11-05
-8.686323165893555,2018-11-06
18.197254180908203,2018-11-07
132.57706260681152,2018-11-08
12.735687255859375,2018-11-09
73.52030849456787,2018-11-12
-11.711481094360352,2018-11-13
35.09069061279297,2018-11-14
39.99786376953125,2018-11-15
-30.073451042175293,2018-11-16
-186.77064037322998,2018-11-19
-81.82744598388672,2018-11-20
14.933093070983887,2018-11-21
48.52066516876221,2018-11-23
85.6332311630249,2018-11-26
80.59772777557373,2018-11-27
-23.402563095092773,2018-11-28
249.42854690551758,2018-11-29
-184.4546537399292,2018-11-30
-32.64200401306152,2018-12-03
20.015315055847168,2018-12-04
-126.11829566955566,2018-12-06
61.399380683898926,2018-12-07
108.51576709747314,2018-12-10
2.788206100463867,2018-12-11
256.5634355545044,2018-12-12
-104.62298679351807,2018-12-13
-377.38167572021484,2018-12-14
-52.90089225769043,2018-12-17
-113.93590641021729,2018-12-18
-65.47007369995117,2018-12-19
-22.28157615661621,2018-12-20
-416.7091455459595,2018-12-21
307.475811958313,2018-12-24
202.48729038238525,2018-12-26
-50.35895347595215,2018-12-27
69.95187759399414,2018-12-28
-90.1645917892456,2018-12-31
